,Species,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Sample ID
61,Adelie,39.1,18.7,181.0,3750.0,MALE,A_130
62,Adelie,39.1,18.7,181.0,3750.0,MALE,A_132
63,Adelie,39.1,18.7,181.0,3750.0,MALE,A_134
64,Adelie,39.1,18.7,181.0,3750.0,MALE,A_136
65,Adelie,39.1,18.7,181.0,3750.0,MALE,A_138
66,Adelie,39.1,18.7,181.0,3750.0,MALE,A_140
67,Adelie,39.1,18.7,181.0,3750.0,MALE,A_142
68,Adelie,39.1,18.7,181.0,3750.0,MALE,A_144
69,Adelie,39.1,18.7,181.0,3750.0,MALE,A_146
70,Adelie,39.1,18.7,181.0,3750.0,MALE,A_147
71,Adelie,39.1,18.7,181.0,3750.0,MALE,A_150
72,Adelie,39.1,18.7,181.0,3750.0,MALE,A_152
73,Adelie,39.1,18.7,181.0,3750.0,MALE,C_2
74,Adelie,39.1,18.7,181.0,3750.0,MALE,C_3
75,Adelie,39.1,18.7,181.0,3750.0,MALE,C_5
76,Adelie,39.1,18.7,181.0,3750.0,MALE,C_8
77,Adelie,39.1,18.7,181.0,3750.0,MALE,C_10
78,Adelie,39.1,18.7,181.0,3750.0,MALE,C_12
79,Adelie,39.1,18.7,181.0,3750.0,MALE,C_14
80,Adelie,39.1,18.7,181.0,3750.0,MALE,C_16
81,Adelie,39.1,18.7,181.0,3750.0,MALE,C_17
82,Adelie,39.1,18.7,181.0,3750.0,MALE,C_20
83,Adelie,39.1,18.7,181.0,3750.0,MALE,C_22
84,Adelie,39.1,18.7,181.0,3750.0,MALE,C_24
85,Adelie,39.1,18.7,181.0,3750.0,MALE,C_26
86,Adelie,39.1,18.7,181.0,3750.0,MALE,C_28
87,Adelie,39.1,18.7,181.0,3750.0,MALE,C_30
88,Adelie,39.1,18.7,181.0,3750.0,MALE,C_32
89,Adelie,39.1,18.7,181.0,3750.0,MALE,C_34
90,Adelie,39.1,18.7,181.0,3750.0,MALE,C_35
91,Adelie,39.1,18.7,181.0,3750.0,MALE,C_38
92,Adelie,39.1,18.7,181.0,3750.0,MALE,C_40
93,Adelie,39.1,18.7,181.0,3750.0,MALE,C_41
94,Adelie,39.1,18.7,181.0,3750.0,MALE,C_43
95,Adelie,39.1,18.7,181.0,3750.0,MALE,C_46
96,Adelie,39.1,18.7,181.0,3750.0,MALE,C_48
97,Adelie,39.1,18.7,181.0,3750.0,MALE,C_49
98,Adelie,39.1,18.7,181.0,3750.0,MALE,C_52
99,Adelie,39.1,18.7,181.0,3750.0,MALE,C_54
100,Adelie,39.1,18.7,181.0,3750.0,MALE,C_56
101,Adelie,39.1,18.7,181.0,3750.0,MALE,C_58
102,Adelie,39.1,18.7,181.0,3750.0,MALE,C_59
103,Adelie,39.1,18.7,181.0,3750.0,MALE,C_61
104,Adelie,39.1,18.7,181.0,3750.0,MALE,C_66
105,Adelie,39.1,18.7,181.0,3750.0,MALE,C_67
106,Adelie,39.1,18.7,181.0,3750.0,MALE,G_2
107,Adelie,39.1,18.7,181.0,3750.0,MALE,G_4
108,Adelie,39.1,18.7,181.0,3750.0,MALE,G_5
109,Adelie,39.1,18.7,181.0,3750.0,MALE,G_8
110,Adelie,39.1,18.7,181.0,3750.0,MALE,G_10
111,Adelie,39.1,18.7,181.0,3750.0,MALE,G_12
112,Adelie,39.1,18.7,181.0,3750.0,MALE,G_14
113,Adelie,39.1,18.7,181.0,3750.0,MALE,G_16
114,Adelie,39.1,18.7,181.0,3750.0,MALE,G_18
115,Adelie,39.1,18.7,181.0,3750.0,MALE,G_20
116,Adelie,39.1,18.7,181.0,3750.0,MALE,G_21
117,Adelie,39.1,18.7,181.0,3750.0,MALE,G_24
118,Adelie,39.1,18.7,181.0,3750.0,MALE,G_26
119,Adelie,39.1,18.7,181.0,3750.0,MALE,G_28
120,Adelie,39.1,18.7,181.0,3750.0,MALE,G_30
121,Adelie,39.1,18.7,181.0,3750.0,MALE,G_31
122,Adelie,39.1,18.7,181.0,3750.0,MALE,G_34
123,Adelie,39.1,18.7,181.0,3750.0,MALE,G_36
124,Adelie,39.1,18.7,181.0,3750.0,MALE,G_38
125,Adelie,39.1,18.7,181.0,3750.0,MALE,G_40
126,Adelie,39.1,18.7,181.0,3750.0,MALE,G_42
127,Adelie,39.1,18.7,181.0,3750.0,MALE,G_44
128,Adelie,39.1,18.7,181.0,3750.0,MALE,G_45
129,Adelie,39.1,18.7,181.0,3750.0,MALE,G_48
130,Adelie,39.1,18.7,181.0,3750.0,MALE,G_50
131,Adelie,39.1,18.7,181.0,3750.0,MALE,G_52
132,Adelie,39.1,18.7,181.0,3750.0,MALE,G_54
133,Adelie,39.1,18.7,181.0,3750.0,MALE,G_56
134,Adelie,39.1,18.7,181.0,3750.0,MALE,G_58
135,Adelie,39.1,18.7,181.0,3750.0,MALE,G_60
136,Adelie,39.1,18.7,181.0,3750.0,MALE,G_62
137,Adelie,39.1,18.7,181.0,3750.0,MALE,G_64
138,Adelie,39.1,18.7,181.0,3750.0,MALE,G_66
139,Adelie,39.1,18.7,181.0,3750.0,MALE,G_68
140,Adelie,39.1,18.7,181.0,3750.0,MALE,G_70
141,Adelie,39.1,18.7,181.0,3750.0,MALE,G_72
142,Adelie,39.1,18.7,181.0,3750.0,MALE,G_73
143,Adelie,39.1,18.7,181.0,3750.0,MALE,G_76
144,Adelie,39.1,18.7,181.0,3750.0,MALE,G_78
145,Adelie,39.1,18.7,181.0,3750.0,MALE,G_80
146,Adelie,39.1,18.7,181.0,3750.0,MALE,G_82
147,Adelie,39.1,18.7,181.0,3750.0,MALE,G_86
148,Adelie,39.1,18.7,181.0,3750.0,MALE,G_88
149,Adelie,39.1,18.7,181.0,3750.0,MALE,G_90
150,Adelie,39.1,18.7,181.0,3750.0,MALE,G_92
151,Adelie,39.1,18.7,181.0,3750.0,MALE,G_94
152,Adelie,39.1,18.7,181.0,3750.0,MALE,G_96
153,Adelie,39.1,18.7,181.0,3750.0,MALE,G_97
154,Adelie,39.1,18.7,181.0,3750.0,MALE,G_100
155,Adelie,39.1,18.7,181.0,3750.0,MALE,G_102
156,Adelie,39.1,18.7,181.0,3750.0,MALE,G_104
157,Adelie,39.1,18.7,181.0,3750.0,MALE,G_106
158,Adelie,39.1,18.7,181.0,3750.0,MALE,G_108
159,Adelie,39.1,18.7,181.0,3750.0,MALE,G_110
160,Adelie,39.1,18.7,181.0,3750.0,MALE,G_114
161,Adelie,39.1,18.7,181.0,3750.0,MALE,G_116
162,Adelie,39.1,18.7,181.0,3750.0,MALE,G_118
163,Adelie,39.1,18.7,181.0,3750.0,MALE,G_122
164,Adelie,39.1,18.7,181.0,3750.0,MALE,G_124
165,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_2
166,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_3
167,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_7
168,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_13
169,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_17
170,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_19
171,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_21
172,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_23
173,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_26
174,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_28
175,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_29
176,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_31
177,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_33
178,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_35
179,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_38
180,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_39
181,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_41
182,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_43
183,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_45
184,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_49
185,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_51
186,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_53
187,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_55
188,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_57
189,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_59
190,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_61
191,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_63
192,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_65
193,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_67
194,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_69
195,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_71
196,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_73
197,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_75
198,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_77
199,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_79
200,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_81
201,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_83
202,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_85
203,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_88
204,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_90
205,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_91
206,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_93
207,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_95
208,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_97
209,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_99
210,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_101
211,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_103
212,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_105
213,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_107
214,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_109
215,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_111
216,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_113
217,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_115
218,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_117
219,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_119
220,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_121
221,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_123
222,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_125
223,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_127
224,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_129
225,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_131
226,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_133
227,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_135
228,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_137
229,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_139
230,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_141
231,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_143
232,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_145
233,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_148
234,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_149
235,Adelie,39.5,17.4,186.0,3800.0,FEMALE,A_151
236,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_1
237,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_4
238,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_6
239,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_7
240,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_9
241,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_11
242,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_13
243,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_15
244,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_18
245,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_19
246,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_21
247,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_23
248,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_25
249,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_27
250,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_29
251,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_31
252,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_33
253,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_36
254,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_37
255,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_39
256,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_42
257,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_44
258,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_45
259,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_47
260,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_50
261,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_53
262,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_55
263,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_57
264,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_60
265,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_62
266,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_63
267,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_65
268,Adelie,39.5,17.4,186.0,3800.0,FEMALE,C_68
269,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_1
270,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_3
271,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_6
272,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_7
273,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_9
274,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_11
275,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_13
276,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_15
277,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_17
278,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_19
279,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_22
280,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_23
281,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_25
282,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_29
283,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_32
284,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_33
285,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_35
286,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_37
287,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_39
288,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_41
289,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_43
290,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_46
291,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_47
292,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_49
293,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_51
294,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_53
295,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_55
296,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_57
297,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_59
298,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_61
299,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_63
300,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_65
301,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_69
302,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_74
303,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_75
304,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_77
305,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_79
306,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_81
307,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_83
308,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_85
309,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_87
310,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_89
311,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_91
312,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_93
313,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_95
314,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_98
315,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_99
316,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_101
317,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_103
318,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_107
319,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_109
320,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_111
321,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_113
322,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_115
323,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_119
324,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_121
325,Adelie,39.5,17.4,186.0,3800.0,FEMALE,G_123
326,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_2
327,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_3
328,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_7
329,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_13
330,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_17
331,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_19
332,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_21
333,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_23
334,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_26
335,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_28
336,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_29
337,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_31
338,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_33
339,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_35
340,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_38
341,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_39
342,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_41
343,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_43
344,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_45
345,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_49
346,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_51
347,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_53
348,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_55
349,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_57
350,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_59
351,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_61
352,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_63
353,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_65
354,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_67
355,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_69
356,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_71
357,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_73
358,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_75
359,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_77
360,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_79
361,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_81
362,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_83
363,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_85
364,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_88
365,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_90
366,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_91
367,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_93
368,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_95
369,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_97
370,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_99
371,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_101
372,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_103
373,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_105
374,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_107
375,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_109
376,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_111
377,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_113
378,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_115
379,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_117
380,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_119
381,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_121
382,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_123
383,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_125
384,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_127
385,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_129
386,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_131
387,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_133
388,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_135
389,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_137
390,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_139
391,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_141
392,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_143
393,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_145
394,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_148
395,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_149
396,Adelie,40.3,18.0,195.0,3250.0,FEMALE,A_151
397,Adelie,40.3,18.0,195.0,3250.0,FEMALE,C_1
398,Adelie,40.3,18.0,195.0,3250.0,FEMALE,C_4
399,Adelie,40.3,18.0,195.0,3250.0,FEMALE,C_6
400,Adelie,40.3,18.0,195.0,3250.0,FEMALE,C_7
401,Adelie,40.3,18.0,195.0,3250.0,FEMALE,C_9
402,Adelie,40.3,18.0,195.0,3250.0,FEMALE,C_11
403,Adelie,40.3,18.0,195.0,3250.0,FEMALE,C_13
404,Adelie,40.3,18.0,195.0,3250.0,FEMALE,C_15
405,Adelie,40.3,18.0,195.0,3250.0,FEMALE,C_18
406,Adelie,40.3,18.0,195.0,3250.0,FEMALE,C_19
407,Adelie,40.3,18.0,195.0,3250.0,FEMALE,C_21
408,Adelie,40.3,18.0,195.0,3250.0,FEMALE,C_23
409,Adelie,40.3,18.0,195.0,3250.0,FEMALE,C_25
410,Adelie,40.3,18.0,195.0,3250.0,FEMALE,C_27
411,Adelie,40.3,18.0,195.0,3250.0,FEMALE,C_29
412,Adelie,40.3,18.0,195.0,3250.0,FEMALE,C_31
413,Adelie,40.3,18.0,195.0,3250.0,FEMALE,C_33
414,Adelie,40.3,18.0,195.0,3250.0,FEMALE,C_36
415,Adelie,40.3,18.0,195.0,3250.0,FEMALE,C_37
416,Adelie,40.3,18.0,195.0,3250.0,FEMALE,C_39
417,Adelie,40.3,18.0,195.0,3250.0,FEMALE,C_42
